date,gdp,investment,capital,employed,hours,total_hours,capacity_utilization
2011-04-01,17035.114,1905.433837148617,82313.37882045729,139531.33333333334,33.6,4688252.800000001,75.7079
2011-07-01,17031.313,1995.0536097212293,83044.93665218806,139883.0,33.6,4700068.8,76.3697
2011-10-01,17222.583,2046.3838976490244,83816.59548877024,140698.66666666666,33.666666666666664,4736855.11111111,76.8134
2012-01-01,17367.01,2099.122229759145,84629.14783106807,141826.0,33.733333333333334,4784263.733333333,77.1506
2012-04-01,17444.525,2146.650041394907,85476.75545054127,142165.33333333334,33.666666666666664,4786232.888888889,77.1976
2012-07-01,17469.65,2139.622185767051,86304.32458763379,142542.33333333334,33.666666666666664,4798925.222222222,76.7646
2012-10-01,17489.852,2162.9188938886036,87142.48739324854,143364.66666666666,33.666666666666664,4826610.444444444,76.7487
2013-01-01,17662.4,2196.2482457823057,88001.11390022314,143323.33333333334,33.699999999999996,4829996.333333333,76.9889
2013-04-01,17709.671,2207.5476836488706,88857.86008034101,143838.66666666666,33.666666666666664,4842568.444444444,77.0659
2013-07-01,17860.45,2248.1370997813096,89742.04477455207,144336.0,33.6,4849689.600000001,77.1609
2013-10-01,18016.147,2302.0512562814074,90666.57154689507,144264.66666666666,33.6,4847292.8,77.4906
2014-01-01,17953.974,2339.241786858974,91614.09752769722,145310.66666666666,33.53333333333333,4872751.022222222,77.8305
2014-04-01,18185.911,2406.269554873599,92614.10692062149,145913.0,33.7,4917268.100000001,78.6885
2014-07-01,18406.941,2458.3259384814796,93650.82273018574,146569.0,33.7,4939375.300000001,78.894
2014-10-01,18500.031,2479.8593076823577,94693.15850499236,147482.0,33.766666666666666,4979975.533333333,79.1348
2015-01-01,18666.621,2481.0935140290912,95720.72881671666,148106.0,33.733333333333334,4996109.066666666,78.1385
2015-04-01,18782.243,2498.377899628808,96749.81049185329,148714.66666666666,33.6,4996812.8,77.0451
2015-07-01,18857.418,2513.6342795630335,97778.35232557624,148945.66666666666,33.733333333333334,5024433.822222222,77.1477
2015-10-01,18892.206,2502.522118579607,98779.99406343789,149612.33333333334,33.733333333333334,5046922.711111112,76.1438
2016-01-01,19001.69,2504.589870284087,99768.3285298306,150936.66666666666,33.63333333333333,5076503.222222222,75.6708
2016-04-01,19062.709,2525.939819377678,100762.84218640231,151143.0,33.6,5078404.8,75.3767
2016-07-01,19197.938,2563.9857672768326,101780.13618248438,151698.0,33.56666666666667,5091996.2,75.4434
2016-10-01,19304.352,2584.562895072708,102802.39202379898,151968.0,33.56666666666667,5101059.2,75.228
2017-01-01,19398.343,2610.3787491351045,103834.77227316762,152565.66666666666,33.56666666666667,5121120.877777778,75.2042
2017-04-01,19506.949,2639.7274517841606,104880.65437130748,153214.0,33.666666666666664,5158204.666666666,76.3943
2017-07-01,19660.766,2665.1770556631845,105935.93196846258,153786.0,33.63333333333333,5172335.8,76.3397
2017-10-01,19882.352,2728.8660720528164,107038.70025789864,153772.66666666666,33.733333333333334,5187264.622222222,77.6209
2018-01-01,20044.077,2805.2185023257675,108200.8936797884,154945.33333333334,33.699999999999996,5221657.733333333,78.2114
2018-04-01,20150.476,2837.01200976728,109377.04114604805,155575.33333333334,33.766666666666666,5253260.422222222,79.1895
2018-07-01,20276.154,2854.494013286129,110552.61696064672,155888.33333333334,33.733333333333334,5258633.111111112,79.7741
2018-10-01,20304.874,2880.3293023440683,111735.98318387516,156643.0,33.7,5278869.100000001,79.7555
2019-01-01,20431.641,2899.758716848288,112920.61435978774,156683.66666666666,33.699999999999996,5280239.5666666655,78.7412
2019-04-01,20602.275,2954.921616511738,114142.22455674416,156892.66666666666,33.63333333333333,5276823.355555555,77.9784
2019-07-01,20843.322,2983.444555995197,115373.60619314453,157899.0,33.56666666666667,5300143.100000001,77.6879
2019-10-01,20985.448,2970.2911778345688,116572.93296148091,158673.0,33.56666666666667,5326123.7,77.0678
2020-01-01,20709.212,2918.1179457406297,117701.67704436425,157525.0,33.56666666666667,5287589.166666667,75.6947
2020-04-01,19077.992,2681.1743726913774,118576.15153255287,137566.66666666666,33.86666666666667,4658924.444444444,66.2646
2020-07-01,20558.879,2796.740984763809,119552.76960438745,146214.66666666666,34.06666666666667,4981046.311111111,72.7916
2020-10-01,20791.917,2875.5136986301372,120593.16947575395,149946.66666666666,34.233333333333334,5133174.222222222,74.5059
2021-01-01,21082.134,2939.9547670798333,121682.04046191584,150240.33333333334,34.266666666666666,5148235.422222222,75.1199
2021-04-01,21440.929,3010.778905776265,122825.02161009738,151437.33333333334,34.36666666666667,5204396.355555556,76.7964
2021-07-01,21617.828,2999.0536522050775,123938.73294663291,153304.66666666666,34.233333333333334,5248129.755555555,77.4717
2021-10-01,21988.737,3021.539560805983,125057.83492011634,155344.66666666666,34.2,5312787.600000001,78.3048
2022-01-01,21932.71,3109.1898178543966,126247.4091336733,157657.66666666666,34.06666666666667,5370871.177777778,78.5636
2022-04-01,21967.045,3162.3612503333666,127471.89502633775,158110.0,34.06666666666667,5386280.666666667,78.8634
2022-07-01,22125.625,3209.1400037992894,128724.36403100909,158621.66666666666,34.0,5393136.666666666,78.6243
2022-10-01,22278.345,3265.156616122169,130013.6244707339,158785.66666666666,33.9,5382834.1,77.924
2023-01-01,22439.607,3332.8971183192557,131350.83549337822,160492.66666666666,33.93333333333333,5446051.155555555,77.6708
2023-04-01,22580.499,3421.665793702227,132756.28923917754,160904.0,33.8,5438555.199999999,77.4281
2023-07-01,22840.989,3436.512754966182,134155.01648030579,161394.0,33.8,5455117.199999999,77.3246
2023-10-01,23033.78,3483.136405815032,135578.89715700256,161373.0,33.766666666666666,5449028.3,76.9417
2024-01-01,23082.119,3496.050380144296,136993.8354919698,161226.0,33.73333333333333,5438690.399999999,76.2888
2024-04-01,23286.508,3517.4063976576404,138408.41079175242,161256.66666666666,33.733333333333334,5439724.888888889,76.645
2024-07-01,23478.57,3547.5227758162246,139831.38898952145,161513.0,33.7,5442988.100000001,75.9953
2024-10-01,23586.542,3514.291173430837,141199.29312173786,161396.33333333334,33.7,5439056.4333333345,75.4728
2025-01-01,23548.21,3595.2585345509215,142627.16752905364,163559.33333333334,33.63333333333333,5501045.577777778,75.9928
2025-04-01,23770.976,3659.18337174414,144097.04915444655,163489.66666666666,33.63333333333333,5498702.455555555,76.0584
2025-07-01,24026.834,3687.6961529542114,145572.88113858015,163388.66666666666,33.7,5506198.066666666,76.1837
2025-10-01,24055.749,3709.5628670752126,147047.92607741317,163876.0,33.733333333333334,5528083.733333333,75.5506
